feature,direction,phase_compared,pooled
RPS27A,down,post_vs_pre_pooled,-1.72233909242043
PLCG2,up,post_vs_pre_pooled,1.78898478464534
S100A4,down,post_vs_pre_pooled,-2.02485237966605
RPS12,down,post_vs_pre_pooled,-1.81253981547618
RPL11,down,post_vs_pre_pooled,-1.66600054176538
RPS2,down,post_vs_pre_pooled,-1.79463961452585
RPL28,down,post_vs_pre_pooled,-1.90205109775165
RPL30,down,post_vs_pre_pooled,-1.77029476839475
RPL27A,down,post_vs_pre_pooled,-1.61782130829534
RPL37A,down,post_vs_pre_pooled,-1.60520337385814
RPS16,down,post_vs_pre_pooled,-1.65604201135118
RPS14,down,post_vs_pre_pooled,-1.75086037895336
HLA-B,down,post_vs_pre_pooled,-1.5647066063044
FAU,down,post_vs_pre_pooled,-1.61956166744802
RPS29,down,post_vs_pre_pooled,-1.61103294476431
RPLP2,down,post_vs_pre_pooled,-1.65842607952498
RPL19,down,post_vs_pre_pooled,-1.65231391315763
UTRN,up,post_vs_pre_pooled,1.15172824602986
RPS18,down,post_vs_pre_pooled,-1.61690086001802
FTL,down,post_vs_pre_pooled,-1.87838265972432
RPS15,down,post_vs_pre_pooled,-1.52437386754729
RPS15A,down,post_vs_pre_pooled,-1.53615140797579
TMSB10,down,post_vs_pre_pooled,-1.68527709719618
HLA-C,down,post_vs_pre_pooled,-1.69935353500432
RPL23,down,post_vs_pre_pooled,-1.48929874216848
RPS23,down,post_vs_pre_pooled,-1.58878722380911
PTMA,down,post_vs_pre_pooled,-1.44718816275279
RPL8,down,post_vs_pre_pooled,-1.46584826883583
RPS9,down,post_vs_pre_pooled,-1.46638788564803
RPL18A,down,post_vs_pre_pooled,-1.50659490418094
MT-CO3,down,post_vs_pre_pooled,-1.27575986341344
RPS28,down,post_vs_pre_pooled,-1.4676258792453
PFN1,down,post_vs_pre_pooled,-1.53220369544274
CFL1,down,post_vs_pre_pooled,-1.40356851715931
AIF1,down,post_vs_pre_pooled,-1.57766641940837
RPL21,down,post_vs_pre_pooled,-1.46282596950596
S100A6,down,post_vs_pre_pooled,-1.742653819923
RPL3,down,post_vs_pre_pooled,-1.37327043447697
MYL6,down,post_vs_pre_pooled,-1.42902073024437
RPL37,down,post_vs_pre_pooled,-1.34807711809885
RPL26,down,post_vs_pre_pooled,-1.40939735018241
CST3,down,post_vs_pre_pooled,-1.6180482026614
MT-ND3,down,post_vs_pre_pooled,-1.29399818498986
RPS24,down,post_vs_pre_pooled,-1.3609592208444
RPL23A,down,post_vs_pre_pooled,-1.2917377125263
H3F3A,down,post_vs_pre_pooled,-1.37017509178419
RPS3,down,post_vs_pre_pooled,-1.34434190252569
MT-CO2,down,post_vs_pre_pooled,-1.220500261393
TPT1,down,post_vs_pre_pooled,-1.43750807202392
RPS25,down,post_vs_pre_pooled,-1.34106751382802
RPS6,down,post_vs_pre_pooled,-1.3315223694975
EIF1,down,post_vs_pre_pooled,-1.22501763662282
RPS17,down,post_vs_pre_pooled,-1.28794090719778
RPL35A,down,post_vs_pre_pooled,-1.23797068436403
UBC,down,post_vs_pre_pooled,-1.22144137988138
RPL18,down,post_vs_pre_pooled,-1.30723725241677
RPL36A,down,post_vs_pre_pooled,-1.24606316464971
OAZ1,down,post_vs_pre_pooled,-1.22528535199189
HLA-A,down,post_vs_pre_pooled,-1.44274102018055
RPS20,down,post_vs_pre_pooled,-1.28168171195483
RPL39,down,post_vs_pre_pooled,-1.35861774557648
RPS3A,down,post_vs_pre_pooled,-1.26362945432269
MBNL1,up,post_vs_pre_pooled,1.04484056684488
MTRNR2L12,up,post_vs_pre_pooled,1.80050587241955
RPL15,down,post_vs_pre_pooled,-1.18581908901815
RPS4X,down,post_vs_pre_pooled,-1.18146348661597
RPL9,down,post_vs_pre_pooled,-1.18536200193145
MTSS1,up,post_vs_pre_pooled,1.02280448281289
TYROBP,down,post_vs_pre_pooled,-1.32752239125454
MT-CYB,down,post_vs_pre_pooled,-1.16200861679804
MT-ND1,down,post_vs_pre_pooled,-1.16654648556725
RPS8,down,post_vs_pre_pooled,-1.22659500508675
NACA,down,post_vs_pre_pooled,-1.13392114516048
RPS26,down,post_vs_pre_pooled,-1.17712585183169
RPL17,down,post_vs_pre_pooled,-1.18110480057238
DLEU2,up,post_vs_pre_pooled,1.26103649632373
UBA52,down,post_vs_pre_pooled,-1.16010648906201
RPS13,down,post_vs_pre_pooled,-1.20990954269215
RPL36,down,post_vs_pre_pooled,-1.11426273430833
CYBA,down,post_vs_pre_pooled,-1.15386136600288
RPL7,down,post_vs_pre_pooled,-1.09254952283291
RPL12,down,post_vs_pre_pooled,-1.14759585059327
RPL38,down,post_vs_pre_pooled,-1.03792809795567
SLC8A1,up,post_vs_pre_pooled,1.10954801186904
RPL7A,down,post_vs_pre_pooled,-1.06309646694999
RPS21,down,post_vs_pre_pooled,-1.08400437210161
FCER1G,down,post_vs_pre_pooled,-1.31224630895754
RPL32,down,post_vs_pre_pooled,-1.11930616447847
CFD,down,post_vs_pre_pooled,-1.20671935078098
MT-ND2,down,post_vs_pre_pooled,-1.00574168872235
RPL5,down,post_vs_pre_pooled,-1.00606912222336
FTH1,down,post_vs_pre_pooled,-1.17346869343627
MCTP1,up,post_vs_pre_pooled,1.08268056554126
IFITM2,down,post_vs_pre_pooled,-1.11779234648443
HLA-DRA,down,post_vs_pre_pooled,-1.22967099808964
AOAH,up,post_vs_pre_pooled,1.04211463470755
SCLT1,up,post_vs_pre_pooled,1.14685572987577
S100A11,down,post_vs_pre_pooled,-1.03279732634395
FYB1,up,post_vs_pre_pooled,1.01796654652945
CD74,down,post_vs_pre_pooled,-1.00374590974992
HLA-DPA1,down,post_vs_pre_pooled,-1.00506676597255
IFITM3,down,post_vs_pre_pooled,-1.17500578445754
FMNL2,up,post_vs_pre_pooled,1.2001466998784
SPRED1,up,post_vs_pre_pooled,1.02077747546535
AC105402.3,up,post_vs_pre_pooled,1.70213110118317
RPS11,down,post_vs_pre_pooled,-2.68246566496333
RPL10,down,post_vs_pre_pooled,-2.58412630641214
RPL41,down,post_vs_pre_pooled,-2.60984901110094
RPS14,down,post_vs_pre_pooled,-2.44260988484756
RPL13,down,post_vs_pre_pooled,-2.51735318003977
RPLP1,down,post_vs_pre_pooled,-2.47357498278388
RPS18,down,post_vs_pre_pooled,-2.36911292525148
RPS12,down,post_vs_pre_pooled,-2.43431708568072
RPS27A,down,post_vs_pre_pooled,-2.31029092468911
